precinct,senate,house
07-03,4,7
01-05,4,1
01-01,4,1
01-02,4,1
01-06,4,1
01-03,4,1
01-04,4,1
01-07,1,1
01-08,1,1
01-09,1,1
02-01,1,2
02-03,1,2
02-02,1,2
03-01,1,3
02-05,1,2
03-02,2,3
02-04,1,2
03-04,2,3
04-01,2,4
04-04,2,4
04-03,2,4
03-05,2,3
03-06,2,3
03-07,2,3
05-01,3,5
05-02,3,5
05-03,3,5
05-04,3,5
05-05,3,5
05-06,3,5
05-07,3,5
05-08,3,5
06-01,3,6
06-03,3,6
06-04,3,6
06-05,4,6
07-02,4,7
07-04,4,7
07-05,4,7
07-06,4,7
03-03,2,3
01-11,4,1
01-10,4,1
04-05,2,4
05-09,4,5
05-10,4,5
05-11,4,5
07-01,4,7
07-07,4,7
14-01,8,14
14-02,8,14
14-03,8,14
14-04,8,14
14-05,8,14
15-01,8,15
15-02,8,15
15-03,8,15
15-04,8,15
16-01,8,16
16-02,8,16
16-03,8,16
15-05,8,15
16-04,8,16
16-05,8,16
16-06,8,16
08-01,5,8
08-02,5,8
08-03,5,8
08-04,5,8
08-05,5,8
08-06,5,8
08-07,5,8
09-02,5,9
09-03,5,9
09-04,5,9
09-01,5,9
12-06,7,12
10-01,6,10
10-02,6,10
10-03,6,10
10-04,6,10
10-05,6,10
11-01,6,11
11-02,6,11
11-03,6,11
11-04,6,11
12-01,7,12
12-02,7,12
12-03,7,12
12-04,7,12
12-05,7,12
13-01,7,13
13-02,7,13
13-09,7,13
13-03,7,13
13-04,7,13
13-05,7,13
13-06,7,13
13-07,7,13
13-08,7,13
17-01,25,17
17-02,25,17
17-03,9,17
17-04,9,17
19-01,9,19
18-01,9,18
18-02,9,18
18-03,9,18
18-04,9,18
19-05,10,19
19-03,9,19
20-02,10,20
20-03,10,20
20-04,10,20
20-01,10,20
21-02,10,21
19-04,10,19
21-03,10,21
19-02,9,19
22-01,12,22
21-04,12,21
26-01,12,26
26-06,12,26
22-02,12,22
23-05,11,23
23-04,11,23
23-02,11,23
23-03,12,23
24-04,11,24
24-03,11,24
24-02,11,24
25-04,13,25
25-05,13,25
25-02,11,25
27-04,14,27
27-02,13,27
27-03,13,27
24-01,12,24
26-03,12,26
29-02,13,29
26-07,13,26
30-02,15,30
29-03,15,29
28-02,14,28
28-03,14,28
31-01,14,31
28-01,14,28
32-01,14,32
32-02,15,32
32-03,15,32
31-05,16,31
31-02,15,31
30-03,15,30
31-03,15,31
33-04,16,33
33-01,14,33
33-05,16,33
33-06,16,33
35-01,16,35
34-01,16,34
35-04,17,35
38-02,17,38
38-01,17,38
38-03,17,38
34-03,17,34
34-02,16,34
35-02,17,35
37-01,18,37
37-02,18,37
37-03,18,37
45-01,18,45
36-02,22,36
36-01,22,36
36-03,18,36
46-04,22,46
46-02,22,46
46-03,22,46
45-02,22,45
39-05,20,39
42-01,20,42
43-02,20,43
42-02,20,42
42-03,20,42
37-04,18,37
39-02,18,39
39-01,17,39
35-06,17,35
35-03,20,35
39-03,20,39
41-02,19,41
40-02,19,40
40-03,19,40
43-03,21,43
43-05,21,43
43-04,21,43
44-02,21,44
44-01,21,44
47-03,23,47
45-03,22,45
45-04,23,45
47-02,23,47
47-04,23,47
48-01,23,48
48-03,24,48
49-01,24,49
49-02,24,49
49-04,24,49
49-03,24,49
51-02,25,51
48-06,24,48
49-05,24,49
48-05,24,48
50-02,25,50
50-01,24,50
50-03,25,50
51-03,25,51
51-05,25,51
51-06,25,51
51-04,25,51
21-01,10,21
22-03,12,22
26-02,12,26
26-05,11,26
26-04,11,26
25-01,11,25
23-01,10,23
25-03,11,25
27-05,14,27
27-01,13,27
29-04,14,29
29-01,13,29
30-01,14,30
30-04,16,30
31-04,14,31
31-06,16,31
33-03,16,33
33-02,14,33
35-07,18,35
37-05,18,37
45-06,22,45
48-04,23,48
50-04,24,50
28-04,14,28
35-05,18,35
38-04,20,38
39-04,20,39
40-04,19,40
40-01,20,40
41-03,19,41
41-04,20,41
41-01,19,41
43-01,20,43
46-01,22,46
45-05,23,45
48-02,23,48
49-06,25,49
51-01,24,51
47-01,23,47
06-02,3,6
04-02,2,4
